seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
16,1,2,1,4599,4529,1114,2788,2389,1364,
59,1,4,1,2311,4723,5877,1897,1343,2053,
22,1,6,1,1528,1859,7503,4331,1462,1085,
36,1,8,1,1341,1632,1744,1295,1309,1248,
53,1,10,1,1662,2254,2088,1266,1565,1349,
65,1,12,1,2746,7561,2636,2903,1277,700,
68,1,14,1,2212,1505,636,1834,1605,816,214
52,1,16,1,3359,3452,2423,1059,1397,1045,
8,1,18,1,2357,3434,2113,1719,1409,1769,
67,1,20,1,7713,5481,4161,1754,1327,1271,139
64,1,22,1,1707,701,1478,1551,2272,1050,
18,1,24,1,1651,3089,2883,2201,952,1362,
10,1,26,1,1688,6017,4394,4924,2751,1231,
34,1,28,1,3956,3131,3438,3005,2541,1639,
20,1,30,1,3273,3677,4192,4207,2163,2953,
58,1,32,1,2667,2511,3227,3120,2088,1188,
50,1,1,2,3256,5130,2929,2781,2137,1268,
12,1,3,2,1790,500,3276,4052,2328,3134,
5,1,5,2,,4917,2504,2890,1210,1690,
14,1,7,2,1886,2669,2476,2350,1557,2267,
27,1,9,2,4560,3899,2562,4460,3556,2268,
55,1,11,2,1219,2398,1072,2402,1657,1280,
33,1,13,2,3572,4411,3669,2291,1438,1396,
45,1,15,2,1237,2895,1644,2643,1467,1309,
57,1,17,2,1608,2397,1468,2235,2020,1740,
9,1,19,2,1532,3439,3040,1910,1327,2067,
46,1,21,2,3106,1582,2156,3073,1258,1564,
63,1,23,2,2564,1177,1745,2382,2051,1351,
35,1,25,2,1800,1256,1430,1526,2177,1225,
7,1,27,2,1843,2998,4111,3513,3087,2290,
56,1,29,2,3394,2220,3319,3015,2202,1692,
24,1,31,2,1805,3896,3297,3497,1110,2643,
8,2,2,1,3308,2528,3045,1245,2472,1467,
11,2,4,1,2795,2312,2372,1571,1533,1263,
63,2,6,1,1241,2919,1569,1896,1070,1278,
54,2,8,1,1041,1352,1191,799,1473,2542,
17,2,10,1,1637,1907,1399,1317,1253,846,
39,2,12,1,1034,1707,2156,1695,1593,599,
32,2,14,1,2420,3361,2090,2074,2033,841,
23,2,16,1,1611,3458,2591,1442,762,1078,
48,2,18,1,1433,1683,2028,1237,981,823,
44,2,20,1,1505,2032,1500,1568,1593,1188,
16,2,22,1,1843,2029,1583,1141,1696,1405,
37,2,24,1,1422,1526,1258,1721,857,2279,
40,2,26,1,1366,2461,1749,1250,1348,1125,
65,2,28,1,1784,2260,2485,1206,1379,2267,
10,2,30,1,1983,2232,2272,1952,2349,1566,
53,2,32,1,1218,2451,1309,766,613,614,
13,2,1,2,1863,1776,976,976,1310,1133,
61,2,3,2,1428,858,1192,974,1058,1024,
57,2,5,2,3597,2054,1604,873,1103,926,
35,2,7,2,1853,1719,1833,2082,1264,985,
49,2,9,2,1402,2073,2239,1398,1130,836,
45,2,11,2,2057,4665,1356,796,1572,1162,
26,2,13,2,2533,1889,1287,2019,2037,1007,
22,2,15,2,1175,1379,994,751,1101,1002,
28,2,17,2,1592,2635,1357,2509,1643,943,
30,2,19,2,2726,4006,1968,1491,1200,2553,
31,2,21,2,2018,1575,912,1499,1361,1291,
60,2,23,2,1359,969,812,957,756,1505,
38,2,25,2,1452,1436,1429,1943,778,1316,
27,2,27,2,2723,1805,2399,1393,1349,1487,
5,2,29,2,2555,2472,2336,2719,1414,1007,
52,2,31,2,1129,2260,3093,3218,886,970,
37,3,2,1,2488,1704,1177,833,756,425,
60,3,4,1,1625,1567,1724,1217,832,415,
48,3,6,1,1951,1273,1484,990,642,602,
51,3,8,1,1378,1284,1338,1144,1146,995,
54,3,10,1,1075,1310,631,699,895,581,
20,3,12,1,1062,1478,1211,943,853,,
23,3,14,1,1078,1080,840,431,1004,537,
41,3,16,1,1668,1232,2497,377,338,460,
65,3,18,1,2365,1921,1174,877,458,314,
63,3,20,1,3361,1783,1781,1072,685,559,
19,3,22,1,1280,645,1002,781,1468,744,
68,3,24,1,1490,1003,892,602,544,970,
28,3,26,1,4745,1964,1167,833,565,443,
39,3,28,1,2235,1208,1332,833,1333,943,
35,3,30,1,2249,1285,1363,732,1332,718,
36,3,32,1,1840,646,902,1362,825,386,
17,3,1,2,1453,1810,967,882,731,507,
42,3,3,2,1977,787,1354,710,1032,1653,
66,3,5,2,1479,1176,757,993,426,440,
29,3,7,2,2251,986,1035,590,632,858,
13,3,9,2,1627,2299,1090,792,951,389,
6,3,11,2,2124,2026,686,1298,1118,968,
44,3,13,2,3372,1674,1084,1453,681,410,
27,3,15,2,847,508,820,221,1023,493,
56,3,17,2,1849,1949,978,2020,1449,1250,
47,3,19,2,2119,1337,2749,2577,872,1473,
10,3,21,2,2515,1038,641,968,879,751,
33,3,23,2,2020,1006,1114,537,488,998,
59,3,25,2,4698,1027,1453,966,565,680,
50,3,27,2,2979,1862,2371,644,648,775,
21,3,29,2,2121,1246,1564,1335,1140,885,
53,3,31,2,1700,1385,1055,1573,1204,472,
43,4,2,1,3828,3413,1972,1988,1680,1065,
55,4,4,1,2533,3262,3646,3789,2190,2375,
18,4,6,1,3592,3065,1930,2656,3062,3602,
32,4,8,1,2434,2465,1971,1073,1805,3374,
13,4,10,1,3198,2307,1499,2519,1886,2654,
11,4,12,1,2910,4059,3363,2791,1567,1535,
46,4,14,1,1387,2452,2168,1957,1471,1174,
26,4,16,1,3294,3891,3849,2118,957,1358,197
57,4,18,1,3064,2982,2832,2734,1868,1720,
65,4,20,1,3376,3005,3080,4456,2902,1806,
39,4,22,1,3102,1937,2004,1884,2174,2207,
63,4,24,1,1887,2557,1984,2435,1147,1690,
12,4,26,1,3742,1527,2002,2073,1594,1344,
22,4,28,1,5351,2212,3162,2585,2664,3423,
5,4,30,1,4183,3516,3588,3313,2065,2529,
45,4,32,1,1935,2250,2204,1919,2183,1229,
49,4,1,2,3330,3129,1384,2192,1868,2003,
35,4,3,2,2539,3513,2743,2810,2208,2303,
6,4,5,2,3328,2038,3853,1705,1225,1785,
24,4,7,2,5789,2301,3004,4102,1063,1558,
30,4,9,2,2367,2615,1836,1412,2385,2163,
40,4,11,2,2018,2124,2000,2924,1322,1540,
64,4,13,2,2807,3022,3181,3386,2180,1662,
34,4,15,2,2436,1641,3427,3220,1988,2526,
47,4,17,2,5462,2720,2101,2146,3663,2446,
29,4,19,2,4059,3731,2649,1950,1678,2010,
8,4,21,2,4520,2218,2499,1771,1272,1879,
52,4,23,2,2417,3103,1890,3513,2089,2806,
15,4,25,2,2510,3787,2474,3265,1208,2927,
67,4,27,2,2737,2302,2701,1670,3391,3208,
41,4,29,2,3405,2785,2668,2903,3201,2578,
48,4,31,2,4267,2624,2282,2130,1459,1657,
38,5,2,1,2238,1994,2897,1701,1189,1304,
43,5,4,1,1883,2449,2584,1561,1428,934,
40,5,6,1,2202,2674,1953,1934,1235,1301,
31,5,8,1,1990,1940,1491,900,2002,1596,
22,5,10,1,1838,1648,2492,1442,1269,1634,
18,5,12,1,1419,3495,2632,1688,623,1287,221
35,5,14,1,1730,1248,1634,1462,1118,667,
15,5,16,1,3591,2228,2497,1907,985,1687,
47,5,18,1,2202,2552,1924,1324,1394,731,
16,5,20,1,4223,2595,2056,1556,646,1541,
21,5,22,1,1267,2186,1765,1805,1438,2057,
45,5,24,1,3271,1341,1478,1380,1006,1945,
53,5,26,1,3243,2800,2243,941,1389,1427,
51,5,28,1,3166,1741,2412,1358,957,3866,
24,5,30,1,2802,2729,2351,2260,1663,2109,
14,5,32,1,2017,2124,1984,1534,812,1326,
54,5,1,2,3103,2973,1173,1803,789,2966,
11,5,3,2,3020,1240,1510,1260,1444,1643,
56,5,5,2,4231,3385,1582,1292,775,1413,
36,5,7,2,3514,1545,1901,1318,755,761,
60,5,9,2,2684,1765,1497,728,1213,1542,
46,5,11,2,2499,3706,1979,1032,1075,1379,
29,5,13,2,2820,1534,2120,1940,1329,1750,
68,5,15,2,1903,3385,2180,1274,1700,1691,
28,5,17,2,2341,1598,2132,1585,1080,2112,
34,5,19,2,2297,1937,1790,1603,1160,2060,
7,5,21,2,2111,2093,1211,1638,512,2624,
25,5,23,2,2024,1431,2206,2249,1109,1680,
30,5,25,2,2606,2113,1450,1813,1270,1698,
8,5,27,2,2802,2062,1622,1058,1558,2071,
63,5,29,2,3885,3301,2428,1716,1574,966,
6,5,31,2,2346,2173,2010,1476,653,3117,
